Date,Close
03/01/13,2701.219971
04/01/13,2709.350098
07/01/13,2695.560059
08/01/13,2691.449951
09/01/13,2706.389893
10/01/13,2708.27002
11/01/13,2717.790039
14/01/13,2715.159912
15/01/13,2701.590088
16/01/13,2702.540039
17/01/13,2718.929932
18/01/13,2709.590088
21/01/13,2726.629883
22/01/13,2716.699951
23/01/13,2708.280029
24/01/13,2722.959961
25/01/13,2744.179932
28/01/13,2744.5
29/01/13,2749.27002
30/01/13,2732.120117
31/01/13,2702.97998
01/02/13,2710.080078
04/02/13,2625.169922
05/02/13,2651.209961
06/02/13,2617.350098
07/02/13,2597.919922
08/02/13,2630.300049
11/02/13,2622.610107
12/02/13,2648.830078
13/02/13,2656.860107
14/02/13,2635.350098
15/02/13,2615.26001
18/02/13,2616.649902
19/02/13,2662.370117
20/02/13,2640.350098
21/02/13,2579.76001
22/02/13,2630.050049
25/02/13,2651.860107
26/02/13,2570.52002
27/02/13,2611.889893
28/02/13,2633.550049
01/03/13,2616.75
04/03/13,2619.780029
05/03/13,2683.02002
06/03/13,2679.889893
07/03/13,2690.850098
08/03/13,2728.780029
11/03/13,2718.709961
12/03/13,2711.850098
13/03/13,2704.72998
14/03/13,2744.699951
15/03/13,2725.719971
18/03/13,2705.469971
19/03/13,2671.959961
20/03/13,2708.899902
21/03/13,2683.919922
22/03/13,2681.669922
25/03/13,2649.280029
26/03/13,2641.120117
27/03/13,2612.459961
28/03/13,2624.02002
02/04/13,2679.800049
03/04/13,2639.01001
04/04/13,2621.429932
05/04/13,2585.280029
08/04/13,2589.25
09/04/13,2595.129883
10/04/13,2661.620117
11/04/13,2674.330078
12/04/13,2633.469971
15/04/13,2624.709961
16/04/13,2609.300049
17/04/13,2553.48999
18/04/13,2555.5
19/04/13,2575.159912
22/04/13,2583.620117
23/04/13,2662.879883
24/04/13,2702.050049
25/04/13,2704.409912
26/04/13,2683.429932
29/04/13,2717.379883
30/04/13,2712
02/05/13,2718.899902
03/05/13,2763.679932
06/05/13,2750.52002
07/05/13,2769.080078
08/05/13,2784.620117
10/05/13,2785.23999
13/05/13,2777.389893
14/05/13,2795.629883
15/05/13,2809.580078
16/05/13,2806.699951
17/05/13,2817.98999
21/05/13,2821.649902
22/05/13,2835.01001
23/05/13,2776.780029
24/05/13,2764.290039
27/05/13,2795
28/05/13,2835.870117
29/05/13,2786.540039
30/05/13,2799.199951
31/05/13,2769.639893
03/06/13,2747.73999
04/06/13,2755.699951
05/06/13,2709.330078
06/06/13,2676.209961
07/06/13,2724.080078
10/06/13,2719.399902
11/06/13,2683.199951
12/06/13,2666.52002
13/06/13,2661.709961
14/06/13,2667.320068
17/06/13,2702.689941
18/06/13,2700.929932
19/06/13,2683.97998
20/06/13,2586.449951
21/06/13,2549.47998
24/06/13,2511.830078
25/06/13,2543.370117
26/06/13,2602.810059
27/06/13,2619.860107
28/06/13,2602.590088
01/07/13,2622.620117
02/07/13,2603.199951
03/07/13,2570.76001
04/07/13,2646.540039
05/07/13,2596.01001
08/07/13,2650.850098
09/07/13,2664.139893
10/07/13,2659.709961
11/07/13,2681.320068
12/07/13,2674.870117
15/07/13,2686.689941
16/07/13,2665.610107
17/07/13,2681.879883
18/07/13,2717.98999
19/07/13,2716.169922
22/07/13,2725.399902
23/07/13,2722.899902
24/07/13,2752.25
25/07/13,2740.290039
26/07/13,2741.959961
29/07/13,2741.72998
30/07/13,2759.209961
31/07/13,2768.149902
02/08/13,2811
05/08/13,2809.080078
06/08/13,2790.780029
07/08/13,2794.439941
08/08/13,2816.879883
09/08/13,2825.620117
12/08/13,2827.149902
13/08/13,2841.610107
14/08/13,2852.080078
15/08/13,2835.860107
16/08/13,2854.27002
19/08/13,2823.350098
20/08/13,2787.97998
21/08/13,2774.580078
22/08/13,2812.320068
23/08/13,2826.050049
26/08/13,2821.449951
27/08/13,2749.27002
28/08/13,2742.610107
29/08/13,2758.310059
30/08/13,2721.370117
02/09/13,null
03/09/13,2753.350098
04/09/13,2758.290039
05/09/13,2774.199951
06/09/13,2803.419922
09/09/13,2798.310059
10/09/13,2851.399902
11/09/13,2863.439941
12/09/13,2862.070068
13/09/13,2867.110107
16/09/13,2894.639893
17/09/13,2890.949951
18/09/13,2908.919922
19/09/13,2936.199951
20/09/13,2927.189941
23/09/13,2906.350098
24/09/13,2922.929932
25/09/13,2927.350098
26/09/13,2922.98999
27/09/13,2919.340088
30/09/13,2893.149902
01/10/13,2933.02002
02/10/13,2918.310059
03/10/13,2902.120117
04/10/13,2928.310059
07/10/13,2923.040039
08/10/13,2903.350098
09/10/13,2904.72998
10/10/13,2969.409912
11/10/13,2974.280029
14/10/13,2977.689941
15/10/13,3004.560059
16/10/13,3015.399902
17/10/13,3010.389893
18/10/13,3033.310059
21/10/13,3028.649902
22/10/13,3045.77002
23/10/13,3017.159912
24/10/13,3038.959961
25/10/13,3034.5
28/10/13,3022.040039
29/10/13,3050.639893
30/10/13,3040.689941
31/10/13,3067.949951
01/11/13,3052.139893
04/11/13,3061.179932
05/11/13,3035.919922
06/11/13,3056.399902
07/11/13,3042.97998
08/11/13,3034.909912
11/11/13,3052.830078
12/11/13,3034.679932
13/11/13,3021.169922
14/11/13,3053.689941
15/11/13,3054.530029
18/11/13,3081.300049
19/11/13,3049.169922
20/11/13,3047.320068
21/11/13,3044.340088
22/11/13,3055.97998
25/11/13,3072.75
26/11/13,3062.620117
27/11/13,3082.649902
28/11/13,3092.419922
29/11/13,3086.639893
02/12/13,3077.22998
03/12/13,3013.879883
04/12/13,2991.76001
05/12/13,2953.169922
06/12/13,2979.939941
09/12/13,2988.669922
10/12/13,2960.860107
11/12/13,2947.310059
12/12/13,2928.120117
13/12/13,2921.919922
16/12/13,2978.77002
17/12/13,2941.76001
18/12/13,2975.090088
19/12/13,3014.699951
20/12/13,3049.350098
23/12/13,3070.909912
27/12/13,3111.370117
30/12/13,3100.929932
03/01/14,3074.429932
06/01/14,3069.159912
07/01/14,3110.959961
08/01/14,3110.659912
09/01/14,3090.26001
10/01/14,3104.149902
13/01/14,3111.939941
14/01/14,3119.530029
15/01/14,3168.76001
16/01/14,3150.199951
17/01/14,3154.100098
20/01/14,3153.169922
21/01/14,3153.080078
22/01/14,3151.27002
23/01/14,3117.080078
24/01/14,3028.199951
27/01/14,3014.620117
28/01/14,3038.600098
29/01/14,3011.449951
30/01/14,3027.300049
31/01/14,3013.959961
03/02/14,2963.959961
04/02/14,2962.48999
05/02/14,2962.51001
06/02/14,3010.790039
07/02/14,3038.48999
10/02/14,3032.530029
11/02/14,3077.080078
12/02/14,3094.889893
13/02/14,3097.949951
14/02/14,3119.060059
17/02/14,null
18/02/14,3117.439941
19/02/14,3120.800049
20/02/14,3121.590088
21/02/14,3131.669922
24/02/14,3157.310059
25/02/14,3157.47998
26/02/14,3148.189941
27/02/14,3134.939941
28/02/14,3149.22998
03/03/14,3053.98999
04/03/14,3136.330078
05/03/14,3135.969971
06/03/14,3144.530029
07/03/14,3095.310059
10/03/14,3092.790039
11/03/14,3092.550049
12/03/14,3065.459961
13/03/14,3019.540039
14/03/14,3004.639893
17/03/14,3049.189941
18/03/14,3073.75
19/03/14,3076.360107
